GAME #;SEASON;TYPE;HOME/AWAY;TEAM;RESULT;PTS_FOR;PTS_AGN;OPPONENT;DATE;PTS;REB;AST;MIN;2PM;2PA;3PM;3PA;FTM;FTA;OR;DR;STL;TO;BLK;EFF;;;
1;2019-20;International;A;France U16;W;102;38;U16 Bosnia and Herzegovina;09/08/2019;9;3;0;13;3;4;1;1;0;0;0;3;1;1;4;15;;;
2;2019-20;International;H;France U16;W;69;67;U16 Serbia;10/08/2019;11;10;1;30;4;6;0;1;3;6;5;5;3;3;7;23;;;
3;2019-20;International;A;France U16;W;59;54;U16 Greece;11/08/2019;8;5;2;18;3;6;0;2;2;2;3;2;2;2;5;15;;;
4;2019-20;International;H;France U16;W;70;44;U16 Estonia;13/08/2019;4;3;1;14;2;6;0;1;0;0;0;3;2;3;5;7;;;
5;2019-20;International;A;France U16;W;80;78;U16 Croatia;14/08/2019;12;21;1;35;6;9;0;0;0;0;9;12;1;3;8;37;;;
6;2019-20;International;A;France U16;W;73;56;U16 Italy;16/08/2019;12;13;5;25;4;8;0;1;4;7;4;9;0;1;3;24;;;
7;2019-20;International;H;France U16;L;61;70;U16 Spain;17/08/2019;7;12;0;27;2;5;0;0;3;6;3;9;0;2;5;16;;;
8;2019-20;Regular;A;Nanterre U21;W;77;64;Champagne Basket U21;18/10/2019;7;3;0;13;2;4;0;0;3;6;2;1;1;1;3;8;;;
9;2019-20;Regular;H;Nanterre U21;W;75;65;Orléans U21;26/10/2019;14;4;1;23;7;8;0;2;0;0;0;4;0;0;2;18;;;
10;2019-20;Europe;H;Nanterre U21;L;65;73;Germani Brescia;29/10/2019;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;
11;2019-20;Europe;H;Nanterre U21;L;68;82;Darussafaka;12/11/2019;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;;;
12;2019-20;Regular;H;Nanterre U21;L;65;76;Boulogne-Levallois U21;16/11/2019;13;4;0;21;2;4;3;5;0;0;2;2;1;2;2;14;;;
13;2019-20;Regular;A;Nanterre U21;W;77;67;Monaco U21;24/11/2019;14;9;1;19;3;3;2;5;2;2;3;6;0;1;1;21;;;
14;2019-20;Regular;H;Nanterre U21;W;88;74;Limoges U21;30/11/2019;15;6;3;23;6;7;0;3;3;4;5;1;0;5;3;17;;;
15;2019-20;Regular;H;Nanterre U21;W;76;68;LDLC ASVEL U21;04/12/2019;5;6;0;22;2;6;0;1;1;2;2;4;0;1;6;10;;;
16;2019-20;Regular;A;Nanterre U21;L;67;73;Strasbourg U21;07/12/2019;9;2;0;12;3;3;1;2;0;0;1;1;0;1;2;11;;;
17;2019-20;Regular;H;Nanterre U21;L;61;71;Cholet U21;23/12/2019;6;3;0;18;3;8;0;1;0;0;0;3;1;2;3;5;;;
18;2019-20;Regular;A;Nanterre U21;W;68;50;Boulogne-Levallois U21;11/01/2020;8;5;2;25;3;4;0;1;2;2;1;4;0;3;6;16;;;
19;2019-20;Regular;H;Nanterre U21;W;82;68;Pau-Lacq-Orthez U21;15/01/2020;14;3;2;18;4;8;2;4;0;0;1;2;1;0;4;18;;;
20;2019-20;Regular;H;Nanterre U21;L;66;78;Strasbourg U21;18/01/2020;7;5;1;22;2;4;1;3;0;0;2;3;1;2;4;12;;;
21;2019-20;Regular;A;Nanterre U21;W;75;61;Le Mans U21;25/01/2020;9;6;0;19;4;8;0;1;1;1;0;6;1;1;3;13;;;
22;2019-20;Regular;H;Nanterre U21;W;71;69;Roanne U21;01/02/2020;12;7;1;24;5;6;0;4;2;3;3;4;0;2;4;16;;;
23;2019-20;Europe;H;Nanterre U21;L;53;90;U18 Zalgiris;07/02/2020;7;6;0;25;2;5;0;5;3;4;1;5;3;3;6;10;;;
24;2019-20;Europe;H;Nanterre U21;W;77;50;U18 Umana Reyer Venice;07/02/2020;18;16;1;24;5;9;2;3;2;2;3;13;6;1;6;41;;;
25;2019-20;Europe;A;Nanterre U21;W;94;86;U18 Casademont Zaragoza;08/02/2020;22;15;1;40;7;11;1;3;5;7;5;10;1;4;9;36;;;
26;2019-20;Europe;H;Nanterre U21;L;52;107;U18 Joventut Badalona;09/02/2020;16;11;1;25;6;11;0;4;4;4;4;7;1;4;3;19;;;
27;2020-21;Regular;H;Nanterre;L;82;95;Bourg-en-Bresse;23/09/2020;0;1;0;4;0;0;0;0;0;0;1;0;0;0;0;1;;;
28;2020-21;Regular;A;Pôle France;W;72;63;Le Havre;20/10/2020;22;10;2;32;9;12;1;5;1;1;5;5;1;3;7;32;;;
29;2020-21;Europe;A;Nanterre;L;63;75;Cedevita Olimpija;04/11/2020;5;6;2;17;1;1;1;2;0;0;2;4;0;1;4;15;;;
30;2020-21;Europe;H;Nanterre;W;90;74;Dreamland Gran Canaria;11/11/2020;0;0;0;8;0;2;0;0;0;0;0;0;0;1;0;-3;;;
31;2020-21;Europe;A;Nanterre;W;104;102;Dolomiti Energia Trentino;18/11/2020;0;3;0;4;0;1;0;0;0;0;0;3;0;0;0;2;;;
32;2020-21;Regular;A;Nanterre;L;67;73;Boulogne-Levallois;22/11/2020;6;6;0;16;1;2;0;0;4;5;1;5;0;0;2;12;;;
33;2020-21;Regular;A;Pôle France;L;69;102;Chartres;04/12/2020;5;5;0;24;2;12;0;5;1;1;2;3;1;0;0;-4;;;
34;2020-21;Europe;H;Nanterre;W;91;70;Promitheas Patras;08/12/2020;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;;;
35;2020-21;Regular;H;Nanterre U21;L;67;73;Gravelines U21;12/12/2020;19;10;3;36;8;13;0;3;3;4;3;7;5;6;6;28;;;
36;2020-21;Regular;H;Nanterre U21;W;86;76;Le Portel U21;13/03/2021;10;8;1;15;2;4;2;3;0;0;3;5;0;0;2;18;;;
37;2020-21;Regular;H;Pôle France;L;60;68;SOM Boulogne;23/03/2021;9;2;1;18;2;3;1;5;2;2;1;1;0;2;1;6;;;
38;2020-21;Regular;A;Nanterre U21;L;56;65;Pau-Lacq-Orthez U21;27/03/2021;10;8;0;24;5;10;0;4;0;2;2;6;2;3;3;9;;;
39;2020-21;Regular;A;Nanterre U21;L;67;81;Limoges U21;05/04/2021;12;8;1;26;5;11;0;6;2;2;0;8;1;3;2;9;;;
40;2020-21;Regular;H;Pôle France;L;65;68;Saint-Vallier;09/04/2021;11;10;2;28;4;7;1;4;0;0;2;8;0;5;4;16;;;
41;2020-21;Regular;H;Nanterre U21;W;68;66;Limoges U21;17/04/2021;16;9;2;27;5;11;0;4;6;7;2;7;1;2;3;18;;;
42;2020-21;Regular;H;Nanterre;W;97;84;Chalon;17/04/2021;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;;;
43;2020-21;Regular;A;Nanterre;L;67;78;Dijon;20/04/2021;8;5;1;15;4;5;0;3;0;0;1;4;0;1;1;10;;;
44;2020-21;Regular;A;Nanterre;W;98;89;Orléans;23/04/2021;12;6;1;14;2;3;2;5;2;2;1;5;0;1;2;16;;;
45;2020-21;Regular;H;Nanterre;L;66;88;Limoges;27/04/2021;10;4;1;24;3;7;1;3;1;2;4;0;0;0;3;11;;;
46;2020-21;Regular;A;Nanterre;W;102;81;Gravelines;01/05/2021;9;10;1;15;3;6;1;1;0;0;3;7;0;1;3;19;;;
47;2020-21;Regular;H;Nanterre;W;76;75;Le Portel;04/05/2021;7;9;4;31;2;4;1;3;0;0;1;8;0;1;1;16;;;
48;2020-21;Regular;A;Nanterre;W;97;87;Chalon;10/05/2021;7;4;0;18;2;2;1;3;0;0;1;3;0;1;1;9;;;
49;2020-21;Regular;H;Nanterre;W;115;77;Pau-Lacq-Orthez;20/05/2021;0;1;1;4;0;1;0;1;0;0;0;1;0;0;0;0;;;
50;2020-21;Regular;A;Nanterre;W;77;66;Roanne;22/05/2021;6;2;1;16;3;5;0;3;0;0;2;0;0;0;2;6;;;
51;2020-21;Regular;H;Nanterre;W;99;87;Orléans;25/05/2021;14;10;1;27;4;4;2;3;0;1;1;9;2;3;2;24;;;
52;2020-21;Regular;H;Nanterre;W;97;93;Le Mans;29/05/2021;10;6;0;22;3;6;1;4;1;2;1;5;0;0;1;10;;;
53;2020-21;Regular;H;Nanterre;W;73;65;Boulogne-Levallois;02/06/2021;6;5;0;17;1;4;1;3;1;2;2;3;1;1;3;8;;;
54;2020-21;Regular;A;Nanterre;W;88;83;Cholet Basket;06/06/2021;11;5;0;19;1;6;3;3;0;0;1;4;0;3;2;10;;;
55;2020-21;Regular;H;Nanterre;L;83;101;LDLC ASVEL;09/06/2021;2;3;1;19;1;2;0;2;0;0;1;2;0;1;2;4;;;
56;2020-21;Regular;A;Nanterre;L;86;95;Le Mans;12/06/2021;9;4;1;21;0;3;3;3;0;0;0;4;0;2;5;14;;;
57;2020-21;Regular;H;Nanterre;W;86;79;AS Monaco;14/06/2021;6;4;2;18;1;2;0;4;4;5;3;1;1;1;4;10;;;
58;2021-22;International;H;France U19;W;117;48;U19 Korea;03/07/2021;16;9;5;18;8;14;0;3;0;0;2;7;0;2;2;21;;;
59;2021-22;International;A;France U19;L;59;60;U19 Spain;04/07/2021;22;10;2;32;6;10;2;6;4;6;4;6;1;5;6;26;;;
60;2021-22;International;A;France U19;W;89;52;U19 Argentina;06/07/2021;10;12;0;22;3;9;0;1;4;5;2;10;2;0;3;19;;;
61;2021-22;International;H;France U19;W;86;52;U19 Mali;07/07/2021;7;4;1;16;2;6;1;2;0;0;2;2;0;1;4;10;;;
62;2021-22;International;A;France U19;W;84;79;U19 Lithuania;09/07/2021;20;6;2;32;10;12;0;4;0;1;0;6;0;1;8;28;;;
63;2021-22;International;H;France U19;W;75;69;U19 Serbia;10/07/2021;1;3;0;9;0;1;0;1;1;2;1;2;0;3;2;0;;;
64;2021-22;International;A;France U19;L;81;83;U19 USA;11/07/2021;22;8;0;27;5;9;1;5;9;9;2;6;1;1;8;30;;;
65;2021-22;Europe;H;ASVEL;W;88;76;Zalgiris Kaunas;01/10/2021;0;0;0;3;0;1;0;0;0;0;0;0;0;2;1;-2;;;
66;2021-22;Regular;H;ASVEL;W;94;81;Champagne Basket;24/10/2021;3;0;0;10;1;3;0;1;1;1;0;0;1;1;0;0;;;
67;2021-22;Europe;H;ASVEL;W;70;68;CSKA Moscow;27/10/2021;3;3;0;10;1;5;0;3;1;2;2;1;0;0;1;-1;;;
68;2021-22;Europe;A;ASVEL;W;84;70;Panathinaikos Athens;29/10/2021;3;0;0;11;0;1;1;3;0;0;0;0;1;0;0;1;;;
69;2021-22;Regular;H;ASVEL;W;99;74;Orléans;31/10/2021;6;8;1;21;3;4;0;6;0;0;1;7;1;1;5;13;;;
70;2021-22;Regular;A;ASVEL;L;79;82;Paris;06/11/2021;7;3;0;14;0;0;2;5;1;2;1;2;2;6;0;2;;;
71;2021-22;Europe;A;ASVEL;L;65;73;FC Bayern Munich;02/12/2021;5;3;1;14;2;5;0;1;1;2;3;0;0;0;1;5;;;
72;2021-22;Regular;A;ASVEL;W;88;67;Fos-sur-Mer;04/12/2021;6;1;2;15;3;5;0;0;0;0;0;1;0;1;0;6;;;
73;2021-22;Regular;A;ASVEL;L;82;84;AS Monaco;07/12/2021;9;4;0;9;3;3;1;2;0;0;1;3;0;0;0;12;;;
74;2021-22;Europe;A;ASVEL;L;66;91;Baskonia Vitoria-Gasteiz;09/12/2021;10;5;0;22;1;8;2;5;2;2;3;2;0;2;3;6;;;
75;2021-22;Europe;H;ASVEL;L;61;71;Zenit St. Petersburg;15/12/2021;4;5;0;15;1;4;0;2;2;2;3;2;0;0;2;6;;;
76;2021-22;Europe;H;ASVEL;L;63;76;Panathinaikos Athens;11/02/2022;5;5;1;14;1;3;1;2;0;0;0;5;0;1;4;11;;;
77;2021-22;Regular;H;ASVEL;W;87;79;AS Monaco;13/02/2022;6;6;0;22;3;5;0;2;0;0;0;6;1;1;0;8;;;
78;2021-22;Regular;H;ASVEL;W;95;91;Nanterre;18/02/2022;6;3;0;14;3;4;0;4;0;0;2;1;0;1;0;3;;;
79;2021-22;Regular;A;ASVEL;W;68;62;Bourg-en-Bresse;20/02/2022;5;6;0;17;1;8;0;1;3;3;2;4;1;3;1;2;;;
80;2021-22;Europe;H;ASVEL;L;80;82;Alba Berlin;24/02/2022;5;4;1;20;2;2;0;3;1;2;0;4;1;2;0;5;;;
81;2021-22;Regular;A;ASVEL;L;81;83;Boulogne-Levallois;06/03/2022;6;7;1;20;3;6;0;3;0;0;0;7;1;0;3;12;;;
82;2021-22;Europe;H;ASVEL;L;69;72;Baskonia Vitoria-Gasteiz;10/03/2022;9;7;1;27;3;7;1;3;0;0;1;6;0;1;2;12;;;
83;2021-22;Regular;A;ASVEL;L;75;82;Dijon;12/03/2022;14;8;1;28;5;6;1;7;1;2;3;5;0;1;5;19;;;
84;2021-22;Europe;A;ASVEL;L;58;70;Real Madrid;17/03/2022;3;4;0;21;0;5;1;4;0;0;1;3;1;0;2;2;;;
85;2021-22;Europe;A;ASVEL;W;72;68;Zalgiris Kaunas;23/03/2022;14;5;2;29;6;7;0;0;2;3;2;3;2;3;5;23;;;
86;2021-22;Playoff;H;ASVEL;L;78;79;Gravelines;26/03/2022;10;9;2;24;2;4;2;4;0;0;2;7;1;1;1;18;;;
87;2021-22;Europe;A;ASVEL;L;73;94;Maccabi Playtika Tel Aviv;31/03/2022;5;3;0;15;2;4;0;2;1;2;2;1;0;3;3;3;;;
88;2021-22;Regular;H;ASVEL;W;85;65;Le Portel;03/04/2022;25;7;0;25;7;12;3;4;2;3;1;6;0;1;3;27;;;
89;2021-22;Europe;H;ASVEL;L;80;81;EA7 Emporio Armani Milan;07/04/2022;18;6;0;27;3;7;4;5;0;0;3;3;0;3;1;17;;;
90;2021-22;Regular;A;ASVEL;W;87;73;Orléans;09/04/2022;17;5;1;19;6;10;1;2;2;2;2;3;1;3;4;20;;;
91;2021-22;Regular;A;ASVEL;W;91;82;Roanne;12/04/2022;11;6;3;19;4;5;1;3;0;0;2;4;3;3;3;20;;;
92;2021-22;Regular;H;ASVEL;W;107;82;Paris;16/04/2022;4;2;2;17;1;1;0;4;2;2;0;2;2;1;1;6;;;
93;2021-22;Regular;H;ASVEL;W;106;90;Pau-Lacq-Orthez;26/04/2022;14;10;1;26;3;5;2;3;2;4;2;8;0;3;0;17;;;
94;2021-22;Regular;H;ASVEL;W;86;74;Le Mans;01/05/2022;12;6;0;19;3;4;2;3;0;1;0;6;1;3;4;17;;;
95;2021-22;Playoff;H;ASVEL;L;70;74;Cholet Basket;24/05/2022;2;2;0;15;1;3;0;1;0;0;0;2;0;0;1;2;;;
96;2021-22;Playoff;A;ASVEL;W;82;66;Cholet Basket;27/05/2022;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;;;
97;2021-22;Playoff;H;ASVEL;W;84;82;Cholet Basket;29/05/2022;7;1;0;9;0;0;2;4;1;1;0;1;0;2;0;4;;;
98;2021-22;Playoff;H;ASVEL;W;81;68;Dijon;01/06/2022;5;4;1;26;2;4;0;3;1;2;0;4;1;1;3;7;;;
99;2022-23;Regular;A;Boulogne-Levallois;L;73;85;Gravelines;23/09/2022;23;10;1;30;10;17;1;6;0;0;7;3;0;3;1;20;;;
100;2022-23;Regular;H;Boulogne-Levallois;W;82;59;Pau-Lacq-Orthez;27/09/2022;10;8;3;20;2;7;1;3;3;5;1;7;1;1;3;15;;;
101;2022-23;Regular;H;Boulogne-Levallois;W;92;82;Le Portel;30/09/2022;19;6;3;32;6;13;2;3;1;2;3;3;2;2;2;21;;;
102;2022-23;Playoff;A;Boulogne-Levallois;L;115;122;G-League Ignite;05/10/2022;37;4;0;33;4;9;7;11;8;12;0;4;1;1;5;33;;;
103;2022-23;Playoff;A;Boulogne-Levallois;W;112;106;G-League Ignite;06/10/2022;36;11;4;37;9;17;2;7;12;16;5;6;1;2;4;37;;;
104;2022-23;Regular;A;Boulogne-Levallois;W;94;89;Le Mans;15/10/2022;24;9;0;36;6;12;2;7;6;8;4;5;1;3;2;20;;;
105;2022-23;Regular;H;Boulogne-Levallois;W;113;88;Blois;21/10/2022;17;7;6;27;5;7;2;3;1;3;0;7;0;1;5;29;;;
106;2022-23;Regular;A;Boulogne-Levallois;W;95;91;Bourg-en-Bresse;29/10/2022;23;10;2;37;7;9;0;3;9;10;2;8;0;5;4;28;;;
107;2022-23;Regular;H;Boulogne-Levallois;W;78;69;Limoges;04/11/2022;33;12;4;34;7;9;3;8;10;12;2;10;0;2;3;41;;;
108;2022-23;International;A;France;W;90;65;Lithuania;11/11/2022;20;9;1;23;5;11;1;2;7;7;4;5;1;1;0;23;;;
109;2022-23;International;H;France;W;92;56;Bosnia and Herzegovina;14/11/2022;19;4;1;24;4;9;3;6;2;3;0;4;2;1;2;18;;;
110;2022-23;Regular;H;Boulogne-Levallois;W;92;85;Nanterre;20/11/2022;30;9;0;36;9;14;1;5;9;11;0;9;0;3;5;30;;;
111;2022-23;Regular;A;Boulogne-Levallois;W;92;78;Nancy;26/11/2022;30;15;3;33;8;15;1;4;11;16;2;13;2;3;2;34;;;
112;2022-23;Regular;H;Boulogne-Levallois;W;96;85;Fos-sur-Mer;02/12/2022;32;10;3;34;9;13;3;7;5;7;2;8;0;3;4;36;;;
113;2022-23;Regular;A;Boulogne-Levallois;L;77;102;Roanne;06/12/2022;15;6;2;29;6;9;1;5;0;0;1;5;0;2;3;17;;;
114;2022-23;Regular;H;Boulogne-Levallois;L;82;95;AS Monaco;11/12/2022;27;11;3;40;11;15;0;5;5;6;2;9;3;2;0;32;;;
115;2022-23;Regular;A;Boulogne-Levallois;W;91;71;Paris;17/12/2022;11;5;0;23;3;6;1;5;2;2;1;4;2;0;6;17;;;
116;2022-23;Regular;H;Boulogne-Levallois;W;92;87;Cholet Basket;23/12/2022;24;8;2;35;4;13;4;8;4;4;3;5;1;2;2;22;;;
117;2022-23;Regular;A;Boulogne-Levallois;L;81;84;Strasbourg;26/12/2022;26;18;2;35;4;9;2;9;12;12;4;14;3;3;3;37;;;
118;2022-23;Regular;H;Boulogne-Levallois;W;84;83;LDLC ASVEL;09/01/2023;15;9;1;31;4;8;0;4;7;7;1;8;1;2;5;21;;;
119;2022-23;Regular;A;Boulogne-Levallois;W;103;94;Dijon;15/01/2023;16;9;1;31;2;4;3;3;3;4;1;8;1;4;3;23;;;
120;2022-23;Regular;A;Boulogne-Levallois;W;83;82;Fos-sur-Mer;18/01/2023;11;7;0;28;3;5;1;7;2;2;1;6;0;5;4;9;;;
121;2022-23;Regular;H;Boulogne-Levallois;L;84;102;Roanne;27/01/2023;31;14;2;34;9;19;3;9;4;6;4;10;1;3;5;32;;;
122;2022-23;Regular;A;Boulogne-Levallois;L;77;78;Blois;04/02/2023;20;8;6;32;7;13;0;4;6;7;2;6;0;1;2;24;;;
123;2022-23;Regular;H;Boulogne-Levallois;W;93;86;Dijon;10/02/2023;29;9;4;37;8;14;2;6;7;8;3;6;0;3;2;30;;;
124;2022-23;Playoff;A;Boulogne-Levallois;L;76;107;AS Monaco;15/02/2023;13;11;2;26;4;7;0;3;5;6;1;10;1;7;5;18;;;
125;2022-23;Playoff;H;Boulogne-Levallois;L;65;72;LDLC ASVEL;17/02/2023;29;16;1;34;8;15;2;8;7;10;2;14;1;5;3;29;;;
126;2022-23;International;A;France;W;72;59;Czech Republic;23/02/2023;22;17;1;30;4;12;4;7;2;3;6;11;4;4;6;34;;;
127;2022-23;International;H;France;W;70;63;Lithuania;26/02/2023;15;3;1;25;5;8;0;2;5;7;1;2;1;1;3;15;;;
128;2022-23;Regular;A;Boulogne-Levallois;W;78;76;Pau-Lacq-Orthez;07/03/2023;20;9;1;25;4;5;3;8;3;3;1;8;0;1;6;29;;;
129;2022-23;Regular;H;Boulogne-Levallois;W;93;87;Nancy;10/03/2023;14;6;3;26;5;10;1;2;1;1;1;5;0;2;1;16;;;
130;2022-23;Regular;A;Boulogne-Levallois;L;69;86;LDLC ASVEL;14/03/2023;15;11;1;32;2;10;1;3;8;8;3;8;1;1;3;20;;;
131;2022-23;Regular;A;Boulogne-Levallois;L;77;78;Le Portel;24/03/2023;19;11;2;36;6;12;1;4;4;4;1;10;0;1;4;26;;;
132;2022-23;Regular;H;Boulogne-Levallois;W;89;83;Le Mans;28/03/2023;26;10;2;35;5;10;4;6;4;4;1;9;1;2;3;33;;;
133;2022-23;Regular;A;Boulogne-Levallois;L;68;87;AS Monaco;02/04/2023;8;14;3;35;3;6;0;3;2;2;1;13;0;3;3;19;;;
134;2022-23;Regular;H;Boulogne-Levallois;W;93;80;Strasbourg;08/04/2023;29;16;4;34;9;16;2;5;5;6;5;11;0;6;1;33;;;
135;2022-23;Regular;A;Boulogne-Levallois;L;83;84;Limoges;15/04/2023;25;11;4;37;6;10;0;3;13;16;0;11;2;4;3;31;;;
136;2022-23;Regular;H;Boulogne-Levallois;W;80;68;Gravelines;30/04/2023;24;15;3;34;11;15;0;3;2;4;2;13;1;2;4;36;;;
137;2022-23;Regular;H;Boulogne-Levallois;W;93;82;Bourg-en-Bresse;07/05/2023;25;10;4;31;5;12;1;4;12;12;1;9;1;5;1;26;;;
138;2022-23;Regular;A;Boulogne-Levallois;W;82;72;Nanterre;09/05/2023;25;17;3;34;5;12;1;6;12;15;3;14;0;2;4;32;;;
139;2022-23;Regular;A;Boulogne-Levallois;L;68;69;Cholet Basket;12/05/2023;17;15;3;33;8;11;0;5;1;1;1;14;0;5;2;24;;;
140;2022-23;Regular;H;Boulogne-Levallois;W;93;85;Paris;16/05/2023;22;9;2;26;9;11;0;5;4;7;1;8;0;3;2;22;;;
141;2022-23;Playoff;H;Boulogne-Levallois;W;93;80;Cholet Basket;21/05/2023;22;10;6;31;8;15;1;2;3;4;2;8;2;7;2;26;;;
142;2022-23;Playoff;A;Boulogne-Levallois;L;80;83;Cholet Basket;23/05/2023;23;14;3;34;6;11;1;5;8;10;1;13;1;5;2;27;;;
143;2022-23;Playoff;H;Boulogne-Levallois;W;81;69;Cholet Basket;25/05/2023;19;9;4;34;8;15;0;1;3;3;3;6;0;2;2;24;;;
144;2022-23;Playoff;H;Boulogne-Levallois;W;75;69;LDLC ASVEL;28/05/2023;19;14;2;36;6;12;2;6;1;2;0;14;3;5;2;24;;;
145;2022-23;Playoff;H;Boulogne-Levallois;W;86;83;LDLC ASVEL;30/05/2023;13;10;2;35;4;11;1;1;2;2;1;9;0;5;1;14;;;
146;2022-23;Playoff;A;Boulogne-Levallois;L;59;86;LDLC ASVEL;02/06/2023;13;7;0;28;5;8;0;3;3;4;1;6;0;3;4;14;;;
147;2022-23;Playoff;A;Boulogne-Levallois;W;71;69;LDLC ASVEL;04/06/2023;15;7;2;33;5;12;1;3;2;4;0;7;1;1;5;18;;;
148;2022-23;Playoff;A;Boulogne-Levallois;L;64;87;AS Monaco;10/06/2023;8;7;2;27;3;7;0;1;2;2;1;6;0;1;2;13;;;
149;2022-23;Playoff;A;Boulogne-Levallois;L;88;95;AS Monaco;12/06/2023;19;7;4;32;7;11;0;2;5;7;0;7;2;4;3;23;;;
150;2022-23;Playoff;H;Boulogne-Levallois;L;85;92;AS Monaco;15/06/2023;22;7;2;36;5;7;1;4;9;9;1;6;1;1;4;30;;;
151;2023-24;Regular;H;San Antonio Spurs;L;119;126;Dallas Mavericks;26/10/2023;15;5;2;23;3;4;3;5;0;1;0;5;2;5;1;16;;;
152;2023-24;Regular;H;San Antonio Spurs;W;126;122;Houston Rockets;28/10/2023;21;12;1;31;7;13;0;6;7;8;5;7;2;4;3;22;;;
153;2023-24;Regular;A;San Antonio Spurs;L;83;123;LA Clippers;30/10/2023;11;5;2;26;4;8;0;2;3;6;1;4;1;5;1;6;;;
154;2023-24;Regular;A;San Antonio Spurs;W;115;114;Phoenix Suns;01/11/2023;18;8;1;28;4;6;2;6;4;5;3;5;0;5;4;19;;;
155;2023-24;Regular;A;San Antonio Spurs;W;132;121;Phoenix Suns;03/11/2023;38;10;2;34;12;20;3;6;5;6;2;8;1;2;2;39;;;
156;2023-24;Regular;H;San Antonio Spurs;L;116;123;Toronto Raptors;05/11/2023;20;9;4;38;5;9;2;7;4;5;2;7;1;2;5;27;;;
157;2023-24;Regular;A;San Antonio Spurs;L;111;152;Indiana Pacers;07/11/2023;13;10;0;21;1;7;2;5;5;6;1;9;1;2;2;14;;;
158;2023-24;Regular;A;San Antonio Spurs;L;105;126;New York Knicks;09/11/2023;14;9;2;30;4;10;0;4;6;6;4;5;0;3;1;13;;;
159;2023-24;Regular;H;San Antonio Spurs;L;110;117;Minnesota Timberwolves;11/11/2023;29;9;4;35;9;14;3;7;2;4;1;8;1;3;4;33;;;
